Timestamps,z-Value
1414010231734,9.92
1414010231784,10.07
1414010231834,10
1414010231885,10
1414010231936,9.94
1414010231986,9.98
1414010232037,10.05
1414010232088,10.05
1414010232139,10.02
1414010232190,10.05
1414010232241,10.01
1414010232295,10.01
1414010232346,10.06
1414010232396,9.92
1414010232447,10
1414010232497,10
1414010232548,10.02
1414010232599,9.95
1414010232649,10.06
1414010232699,10.06
1414010232750,9.98
1414010232801,9.95
1414010232851,9.91
1414010232906,9.99
1414010232956,9.99
1414010233007,9.95
1414010233058,9.74
1414010233113,9.74
1414010233164,10.01
1414010233215,9.95
1414010233265,9.95
1414010233315,9.94
1414010233366,9.94
1414010233417,9.92
1414010233467,10.01
1414010233522,9.91
1414010233573,9.91
1414010233624,9.94
1414010233674,9.92
1414010233725,9.93
1414010233778,9.94
1414010233829,9.94
1414010233879,9.92
1414010233930,9.87
1414010233982,9.87
1414010234033,9.89
1414010234084,9.83
1414010234135,9.95
1414010234185,9.85
1414010234236,9.85
1414010234287,9.79
1414010234338,9.85
1414010234388,9.9
1414010234439,9.9
1414010234489,9.9
1414010234540,9.89
1414010234590,9.9
1414010234641,9.9
1414010234692,9.89
1414010234751,9.84
1414010234804,9.93
1414010234864,9.91
1414010234929,9.91
1414010234982,9.82
1414010235032,9.96
1414010235084,9.88
1414010235139,9.9
1414010235199,9.93
1414010235242,9.93
1414010235293,9.91
1414010235343,9.88
1414010235394,9.93
1414010235445,9.93
1414010235496,10
1414010235547,9.9
1414010235598,9.91
1414010235648,9.91
1414010235710,9.91
1414010235761,9.95
1414010235811,10
1414010235866,10
1414010235916,10.01
1414010235967,9.96
1414010236017,9.93
1414010236068,9.94
1414010236119,9.94
1414010236175,9.92
1414010236225,9.96
1414010236286,9.96
1414010236337,9.97
1414010236388,9.97
1414010236439,9.95
1414010236489,9.95
1414010236540,10.01
1414010236590,10.01
1414010236641,9.95
1414010236692,9.95
1414010236742,10.04
1414010236795,10.04
1414010236845,10.01
1414010236900,10
1414010236951,9.94
1414010237001,9.94
1414010237053,9.97
1414010237104,9.95
1414010237154,9.96
1414010237207,9.94
1414010237258,9.94
1414010237310,9.98
1414010237360,9.93
1414010237410,9.95
1414010237478,9.95
1414010237529,9.93
1414010237579,9.97
1414010237635,9.88
1414010237685,9.87
1414010237736,9.87
1414010237786,10.01
1414010237837,9.96
1414010237888,9.93
1414010237938,9.93
1414010237989,9.95
1414010238040,9.99
1414010238098,9.95
1414010238150,9.96
1414010238200,9.96
1414010238253,9.94
1414010238304,9.97
1414010238355,9.92
1414010238406,9.92
1414010238457,9.92
1414010238508,9.92
1414010238558,9.99
1414010238613,9.99
1414010238664,9.99
1414010238714,9.92
1414010238765,9.99
1414010238821,9.92
1414010238889,9.92
1414010238939,9.95
1414010238990,9.92
1414010239041,9.96
1414010239092,9.97
1414010239142,9.97
1414010239193,9.94
1414010239244,9.8
1414010239302,9.8
1414010239353,9.87
1414010239405,9.96
1414010239455,9.93
1414010239505,9.94
1414010239556,9.94
1414010239607,9.94
1414010239657,9.94
1414010239708,10
1414010239761,9.95
1414010239812,9.95
1414010239862,9.91
1414010239913,9.9
1414010239967,9.9
1414010240019,9.93
1414010240072,9.94
1414010240123,10.02
1414010240174,9.96
1414010240224,9.92
1414010240275,9.92
1414010240326,9.94
1414010240377,9.89
1414010240429,9.89
1414010240480,9.96
1414010240531,9.96
1414010240583,9.91
1414010240634,9.9
1414010240685,9.9
1414010240735,9.95
1414010240786,9.91
1414010240836,9.99
1414010240887,9.99
1414010240938,9.96
1414010240989,9.91
1414010241042,9.89
1414010241092,9.89
1414010241143,9.97
1414010241197,10.01
1414010241247,9.95
1414010241305,10.02
1414010241356,10.02
1414010241413,9.82
1414010241470,9.92
1414010241516,9.92
1414010241567,9.97
1414010241617,9.97
1414010241668,9.89
1414010241719,9.98
1414010241769,9.98
1414010241820,9.95
1414010241878,9.97
1414010241928,9.86
1414010241999,9.86
1414010242049,9.99
1414010242100,9.99
1414010242150,9.91
1414010242201,9.97
1414010242252,9.96
1414010242302,9.96
1414010242352,9.88
1414010242403,9.93
1414010242454,9.94
1414010242508,10
1414010242559,10
1414010242610,9.9
1414010242661,9.88
1414010242711,9.96
1414010242762,9.96
1414010242815,9.91
1414010242866,9.98
1414010242917,9.96
1414010242968,9.96
1414010243019,9.86
1414010243073,9.93
1414010243124,9.87
1414010243176,9.97
1414010243227,9.97
1414010243278,9.91
1414010243329,9.86
1414010243385,9.92
1414010243436,9.92
1414010243486,9.74
1414010243537,9.95
1414010243594,9.94
1414010243645,9.94
1414010243696,9.88
1414010243754,9.85
1414010243805,9.96
1414010243855,10
1414010243906,10
1414010243956,9.89
1414010244007,9.85
1414010244061,9.83
1414010244121,9.83
1414010244172,9.91
1414010244223,9.95
1414010244277,9.9
1414010244334,9.87
1414010244385,9.87
1414010244436,9.86
1414010244487,9.99
1414010244545,9.87
1414010244595,9.83
1414010244646,9.83
1414010244707,9.9
1414010244758,9.97
1414010244814,9.89
1414010244876,9.89
1414010244931,9.93
1414010244982,9.93
1414010245032,9.88
1414010245083,9.89
1414010245133,9.96
1414010245184,9.96
1414010245234,9.99
1414010245295,9.88
1414010245358,9.89
1414010245408,9.92
1414010245459,9.92
1414010245510,9.97
1414010245562,9.97
1414010245613,9.98
1414010245663,9.99
1414010245714,9.99
1414010245764,9.94
1414010245816,9.92
1414010245870,9.94
1414010245920,9.94
1414010245978,9.9
1414010246029,9.94
1414010246080,9.9
1414010246140,9.96
1414010246191,9.96
1414010246241,9.97
1414010246297,9.9
1414010246347,9.86
1414010246399,9.86
1414010246450,9.94
1414010246509,9.98
1414010246559,9.95
1414010246610,9.93
1414010246660,9.93
1414010246711,9.93
1414010246762,9.93
1414010246813,9.97
1414010246864,9.97
1414010246916,9.89
1414010246973,9.93
1414010247024,9.96
1414010247075,9.98
1414010247126,9.98
1414010247177,9.97
1414010247228,9.84
1414010247279,9.94
1414010247330,9.94
1414010247380,9.93
1414010247441,9.92
1414010247491,9.94
1414010247542,9.94
1414010247593,9.87
1414010247644,9.96
1414010247699,9.99
1414010247752,9.99
1414010247804,9.92
1414010247855,9.93
1414010247906,9.9
1414010247957,9.93
1414010248008,9.93
1414010248058,9.95
1414010248110,9.84
1414010248161,9.96
1414010248212,9.96
1414010248263,9.93
1414010248313,9.87
1414010248364,9.94
1414010248415,9.94
1414010248465,9.83
1414010248516,9.93
1414010248573,9.94
1414010248624,9.91
1414010248674,9.91
1414010248725,9.88
1414010248775,9.89
1414010248827,9.91
1414010248878,9.91
1414010248929,9.78
1414010248979,9.81
1414010249030,9.95
1414010249081,9.95
1414010249131,9.91
1414010249183,9.87
1414010249234,9.92
1414010249286,9.92
1414010249337,9.85
1414010249388,9.9
1414010249438,9.89
1414010249489,9.89
1414010249539,9.88
1414010249592,9.9
1414010249641,9.91
1414010249699,9.8
1414010249762,9.8
1414010249813,9.78
1414010249877,9.9
1414010249929,9.9
1414010249983,9.88
1414010250033,9.89
1414010250084,9.89
1414010250135,9.85
1414010250186,9.88
1414010250237,9.96
1414010250288,9.96
1414010250338,9.86
1414010250389,9.86
1414010250439,9.97
1414010250490,9.97
1414010250540,9.95
1414010250591,9.94
1414010250643,9.92
1414010250693,9.92
1414010250744,9.88
1414010250801,9.89
1414010250855,9.93
1414010250905,9.95
1414010250964,9.95
1414010251015,9.86
1414010251066,9.89
1414010251116,9.92
1414010251168,9.89
1414010251219,9.89
1414010251276,9.92
1414010251327,9.95
1414010251379,9.93
1414010251430,9.93
1414010251481,9.89
1414010251545,9.95
1414010251596,9.94
1414010251646,9.96
1414010251697,9.96
1414010251747,9.91
1414010251797,9.87
1414010251848,9.93
1414010251913,9.93
1414010251965,9.93
1414010252015,10.05
1414010252066,9.97
1414010252116,9.89
1414010252167,9.89
1414010252218,9.91
1414010252269,9.93
1414010252320,9.93
1414010252370,9.93
1414010252421,9.92
1414010252479,9.91
1414010252528,9.88
1414010252583,9.88
1414010252634,9.8
1414010252685,9.91
1414010252736,9.97
1414010252786,9.9
1414010252837,9.9
1414010252893,9.89
1414010252949,9.93
1414010253000,9.91
1414010253052,9.91
1414010253102,9.91
1414010253154,9.84
1414010253214,9.93
1414010253264,9.91
1414010253315,9.89
1414010253366,9.89
1414010253417,9.92
1414010253468,9.84
1414010253520,9.82
1414010253571,9.82
1414010253622,9.9
1414010253672,9.92
1414010253727,9.78
1414010253778,9.78
1414010253829,9.93
1414010253884,9.9
1414010253934,9.86
1414010253998,9.86
1414010254049,9.88
1414010254100,9.87
1414010254151,9.88
1414010254207,9.87
1414010254262,9.88
1414010254313,9.88
1414010254363,9.92
1414010254414,9.81
1414010254465,9.9
1414010254517,9.9
1414010254567,9.86
1414010254618,9.88
1414010254669,9.93
1414010254719,9.93
1414010254769,9.9
1414010254820,9.85
1414010254876,9.81
1414010254928,9.81
1414010254979,9.92
1414010255029,9.9
1414010255080,9.81
1414010255131,9.9
1414010255181,9.9
1414010255232,9.82
1414010255284,9.9
1414010255336,9.9
1414010255386,9.91
1414010255437,9.92
1414010255488,9.85
1414010255556,9.85
1414010255609,9.95
1414010255665,9.95
1414010255717,9.94
1414010255768,9.9
1414010255818,9.93
1414010255870,9.93
1414010255921,9.93
1414010255977,9.94
1414010256028,9.97
1414010256079,9.98
1414010256130,9.98
1414010256180,9.89
1414010256231,9.95
1414010256285,9.95
1414010256339,9.95
1414010256389,9.93
1414010256449,9.9
1414010256500,9.9
1414010256551,9.91
1414010256601,9.91
1414010256652,9.95
1414010256703,9.85
1414010256754,9.94
1414010256816,9.94
1414010256866,9.98
1414010256917,9.9
1414010256967,9.95
1414010257018,9.89
1414010257068,9.89
1414010257119,9.98
1414010257173,10.01
1414010257231,9.91
1414010257281,9.98
1414010257332,9.98
1414010257382,9.95
1414010257433,9.9
1414010257484,9.9
1414010257535,9.9
1414010257587,9.93
1414010257637,10.01
1414010257688,9.96
1414010257738,9.96
1414010257789,9.92
1414010257840,9.93
1414010257891,9.99
1414010257942,9.99
1414010257993,10
1414010258051,9.97
1414010258102,9.91
1414010258153,9.91
1414010258215,9.96
1414010258266,9.93
1414010258316,9.94
1414010258367,10.01
1414010258418,10.01
1414010258469,9.96
1414010258519,9.95
1414010258570,9.92
1414010258634,9.92
1414010258685,9.92
1414010258736,9.97
1414010258786,9.88
1414010258837,9.92
1414010258887,9.92
1414010258938,9.86
1414010258988,9.87
1414010259039,9.95
1414010259090,9.95
1414010259140,9.97
1414010259191,9.9
1414010259242,9.99
1414010259296,9.92
1414010259347,9.92
1414010259398,9.87
1414010259448,9.9
1414010259499,9.87
1414010259550,9.87
1414010259600,9.91
1414010259651,9.96
1414010259702,9.9
1414010259752,9.9
1414010259803,9.91
1414010259853,9.91
1414010259904,9.9
1414010259955,9.9
1414010260006,9.82
1414010260058,9.95
1414010260111,9.94
1414010260174,9.94
1414010260225,9.88
1414010260275,9.92
1414010260326,9.84
1414010260377,9.93
1414010260427,9.93
1414010260478,9.91
1414010260528,9.9
1414010260579,9.91
1414010260630,9.91
1414010260681,9.89
1414010260741,9.82
1414010260794,9.82
1414010260845,9.95
1414010260896,9.95
1414010260947,9.9
1414010261008,9.87
1414010261059,9.98
1414010261112,9.9
1414010261163,9.9
1414010261214,9.96
1414010261265,9.93
1414010261315,9.88
1414010261366,9.88
1414010261417,9.92
1414010261468,9.94
1414010261518,9.86
1414010261569,9.86
1414010261620,9.96
1414010261670,9.94
1414010261729,9.85
1414010261775,9.85
1414010261826,9.95
1414010261877,9.86
1414010261927,9.96
1414010261978,9.96
1414010262033,9.95
1414010262082,9.85
1414010262132,9.88
1414010262186,9.89
1414010262237,9.89
1414010262288,9.99
1414010262338,9.94
1414010262389,9.92
1414010262439,9.92
1414010262490,9.91
1414010262540,9.93
1414010262591,9.94
1414010262642,9.94
1414010262692,9.92
1414010262743,9.79
1414010262794,9.97
1414010262845,9.97
1414010262896,9.96
1414010262958,9.87
1414010263008,9.86
1414010263059,9.91
1414010263109,9.91
1414010263160,9.9
1414010263210,9.9
1414010263261,9.91
1414010263312,9.91
1414010263363,9.99
1414010263414,9.85
1414010263470,9.84
1414010263517,9.84
1414010263573,9.9
1414010263624,9.79
1414010263693,9.79
1414010263743,9.94
1414010263793,9.9
1414010263844,9.9
1414010263895,9.87
1414010263955,9.87
1414010264006,9.88
1414010264062,9.88
1414010264113,9.83
1414010264175,9.84
1414010264233,9.98
1414010264284,9.95
1414010264335,9.85
1414010264388,9.85
1414010264438,9.9
1414010264489,9.86
1414010264540,9.86
1414010264591,9.86
1414010264642,9.84
1414010264692,9.85
1414010264742,9.92
1414010264793,9.92
1414010264844,9.83
1414010264894,9.82
1414010264945,9.9
1414010264995,9.9
1414010265046,9.84
1414010265097,9.91
1414010265149,9.95
1414010265201,9.86
1414010265252,9.86
1414010265303,9.95
1414010265360,9.94
1414010265410,9.82
1414010265461,9.82
1414010265512,9.81
1414010265563,9.94
1414010265613,9.93
1414010265664,9.93
1414010265714,9.83
1414010265765,9.89
1414010265815,9.91
1414010265881,9.91
1414010265932,9.85
1414010265983,9.92
1414010266034,9.85
1414010266084,9.96
1414010266135,9.96
1414010266190,9.9
1414010266241,9.93
1414010266292,9.93
1414010266345,9.88
1414010266396,9.88
1414010266447,9.85
1414010266498,9.88
1414010266552,9.88
1414010266601,9.94
1414010266652,9.92
1414010266703,9.95
1414010266754,9.91
1414010266815,9.91
1414010266865,9.95
1414010266916,9.98
1414010266967,9.88
1414010267017,9.93
1414010267068,9.93
1414010267118,9.98
1414010267173,9.94
1414010267227,9.91
1414010267281,9.91
1414010267331,10
1414010267382,9.97
1414010267432,9.94
1414010267487,9.9
1414010267537,9.9
1414010267587,9.95
1414010267639,9.91
1414010267706,9.91
1414010267757,9.98
1414010267809,9.98
1414010267859,9.91
1414010267910,9.93
1414010267960,9.89
1414010268012,9.89
1414010268063,9.99
1414010268114,9.94
1414010268164,10.04
1414010268215,10.04
1414010268265,9.97
1414010268316,9.9
1414010268367,9.93
1414010268417,9.93
1414010268468,9.87
1414010268519,9.93
1414010268573,9.99
1414010268624,9.99
1414010268675,9.92
1414010268726,9.94
1414010268777,9.96
1414010268831,9.93
1414010268888,9.93
1414010268939,9.88
1414010268990,9.85
1414010269040,9.95
1414010269091,9.95
1414010269142,9.93
1414010269192,9.9
1414010269243,9.93
1414010269297,9.93
1414010269349,9.9
1414010269399,9.93
1414010269467,9.96
1414010269517,9.95
1414010269567,9.94
1414010269618,9.94
1414010269669,9.9
1414010269719,9.89
1414010269774,9.95
1414010269825,9.95
1414010269876,9.95
1414010269928,9.92
1414010269978,9.92
1414010270029,9.92
1414010270080,9.97
1414010270130,9.87
1414010270187,9.95
1414010270243,9.93
1414010270295,9.93
1414010270346,9.9
1414010270397,9.97
1414010270448,9.92
1414010270498,9.92
1414010270549,9.87
1414010270600,9.95
1414010270650,9.93
1414010270700,9.93
1414010270751,9.94
1414010270801,9.93
1414010270852,9.9
1414010270903,9.9
1414010270954,9.93
1414010271005,9.91
1414010271061,9.86
1414010271112,9.95
1414010271163,9.95
1414010271214,9.93
1414010271264,9.9
1414010271314,9.94
1414010271365,9.94
1414010271415,9.88
1414010271466,9.83
1414010271529,9.83
1414010271583,9.97
1414010271636,9.97
1414010271687,9.94
1414010271738,9.89
1414010271788,9.93
1414010271839,9.93
1414010271890,9.98
1414010271940,9.91
1414010271994,9.9
1414010272045,9.9
1414010272096,9.91
1414010272146,9.9
1414010272197,9.86
1414010272248,9.86
1414010272298,9.93
1414010272350,9.97
1414010272400,9.83
1414010272451,9.83
1414010272502,9.86
1414010272552,9.94
1414010272603,9.84
1414010272655,9.95
1414010272705,9.95
1414010272756,9.93
1414010272807,9.9
1414010272858,9.9
1414010272918,9.89
1414010272971,9.94
1414010273022,9.94
1414010273073,9.87
1414010273124,9.87
1414010273175,9.87
1414010273226,9.97
1414010273276,9.88
1414010273333,9.91
1414010273386,9.91
1414010273437,9.98
1414010273487,9.89
1414010273538,9.85
1414010273588,9.85
1414010273639,9.84
1414010273690,9.99
1414010273753,9.99
1414010273807,9.87
1414010273871,9.87
1414010273922,9.96
1414010273973,9.96
1414010274024,9.91
1414010274074,9.91
1414010274125,9.91
1414010274175,9.92
1414010274226,9.87
1414010274277,9.97
1414010274327,9.97
1414010274378,9.98
1414010274429,9.87
1414010274480,9.91
1414010274531,9.91
1414010274581,9.93
1414010274632,10.03
1414010274684,9.94
1414010274738,9.94
1414010274787,9.94
1414010274840,9.94
1414010274889,9.92
1414010274942,9.92
1414010274993,9.89
1414010275043,9.91
1414010275093,10.03
1414010275146,9.93
1414010275206,9.93
1414010275256,9.93
1414010275306,9.98
1414010275357,9.97
1414010275409,9.89
1414010275460,9.89
1414010275510,10.01
1414010275561,10.03
1414010275615,9.92
1414010275671,9.92
1414010275722,9.96
1414010275773,9.95
1414010275824,9.99
1414010275874,9.99
1414010275924,10
1414010275975,9.93
1414010276026,9.95
1414010276078,9.98
1414010276129,9.98
1414010276180,9.94
1414010276231,9.9
1414010276287,9.86
1414010276338,9.86
1414010276389,10
1414010276441,9.96
1414010276502,9.96
1414010276557,9.96
1414010276607,9.96
1414010276658,9.91
1414010276724,9.96
1414010276775,9.94
1414010276826,9.91
1414010276891,9.91
1414010276942,9.97
1414010276992,9.97
1414010277043,9.9
1414010277094,9.93
1414010277145,9.93
1414010277197,9.96
1414010277261,9.93
1414010277311,9.9
1414010277362,10.02
1414010277413,10.02
1414010277464,9.91
1414010277515,9.99
1414010277566,9.95
1414010277616,9.95
1414010277667,9.94
1414010277718,9.95
1414010277771,9.95
1414010277826,9.89
1414010277876,9.89
1414010277927,9.8
1414010277987,9.91
1414010278038,9.96
1414010278089,9.96
1414010278140,9.94
1414010278192,9.98
1414010278242,9.94
1414010278296,9.94
1414010278346,9.97
1414010278397,9.96
1414010278448,9.94
1414010278498,9.98
1414010278549,9.98
1414010278600,9.97
1414010278657,9.89
1414010278713,9.89
1414010278771,9.96
1414010278821,9.96
1414010278879,9.96
1414010278931,9.95
1414010278981,9.94
1414010279033,9.93
1414010279083,9.93
1414010279134,9.98
1414010279185,9.96
1414010279239,9.94
1414010279290,9.94
1414010279341,9.93
1414010279391,9.97
1414010279441,9.97
1414010279492,9.92
1414010279543,9.98
1414010279593,9.98
1414010279644,9.91
1414010279694,9.91
1414010279745,9.95
1414010279797,9.91
1414010279858,9.91
1414010279912,9.97
1414010279965,9.97
1414010280016,9.92
1414010280066,9.94
1414010280117,9.94
1414010280167,9.94
1414010280218,10.03
1414010280269,9.99
1414010280320,9.95
1414010280370,9.95
1414010280421,9.97
1414010280473,9.95
1414010280524,9.98
1414010280577,9.99
1414010280628,9.99
1414010280679,9.91
1414010280730,9.94
1414010280781,9.98
1414010280831,9.98
1414010280882,9.92
1414010280933,10.04
1414010280991,10.04
1414010281042,9.98
1414010281092,9.93
1414010281143,9.94
1414010281194,9.92
1414010281245,9.92
1414010281296,10
1414010281347,9.96
1414010281397,9.84
1414010281452,9.95
1414010281504,9.95
1414010281555,9.98
1414010281611,9.88
1414010281661,9.93
1414010281712,9.93
1414010281763,9.95
1414010281813,9.9
1414010281864,9.88
1414010281914,9.88
1414010281965,9.9
1414010282016,9.96
1414010282067,9.9
1414010282117,9.9
1414010282168,9.88
1414010282219,9.93
1414010282269,9.71
1414010282328,9.97
1414010282379,9.97
1414010282430,9.96
1414010282480,9.88
1414010282531,9.9
1414010282582,9.9
1414010282632,9.95
1414010282683,9.93
1414010282734,9.9
1414010282784,9.9
1414010282839,9.86
1414010282890,9.92
1414010282940,9.98
1414010282994,9.98
1414010283044,9.92
1414010283095,9.9
1414010283146,9.9
1414010283197,9.88
1414010283247,9.88
1414010283299,9.9
1414010283349,9.98
1414010283418,9.98
1414010283468,9.94
1414010283522,9.94
1414010283573,9.93
1414010283623,9.88
1414010283679,9.94
1414010283731,9.94
1414010283782,9.94
1414010283832,9.91
1414010283885,9.91
1414010283942,9.94
1414010283993,9.94
1414010284044,10
1414010284095,9.91
1414010284146,9.83
1414010284197,9.83
1414010284248,9.92
1414010284299,9.99
1414010284349,9.95
1414010284400,9.95
1414010284451,9.92
1414010284502,10
1414010284554,9.91
1414010284611,9.91
1414010284662,9.93
1414010284713,9.92
1414010284764,9.99
1414010284814,9.94
1414010284865,9.94
1414010284915,9.88
1414010284966,10
1414010285017,9.98
1414010285068,9.98
1414010285119,9.88
1414010285169,9.98
1414010285220,10.01
1414010285274,10.01
1414010285325,9.92
1414010285385,9.95
1414010285454,9.9
1414010285515,9.98
1414010285566,9.99
1414010285617,9.99
1414010285668,9.94
1414010285718,9.94
1414010285770,9.95
1414010285820,9.93
1414010285871,9.93
1414010285922,9.85
1414010285975,9.95
1414010286025,9.9
1414010286077,9.9
1414010286127,9.93
1414010286178,9.92
1414010286229,9.97
1414010286279,9.97
1414010286331,9.97
1414010286381,9.96
1414010286432,9.93
1414010286482,9.93
1414010286533,9.95
1414010286584,9.94
1414010286634,9.87
1414010286687,10
1414010286738,10
1414010286788,9.98
1414010286842,9.9
1414010286898,9.97
1414010286949,9.97
1414010286999,9.84
1414010287050,9.95
1414010287101,9.95
1414010287152,9.95
1414010287203,9.94
1414010287255,9.93
1414010287306,9.96
1414010287369,9.96
1414010287421,9.97
1414010287484,9.89
1414010287533,10.03
1414010287584,10
1414010287634,9.92
1414010287685,9.92
1414010287736,9.96
1414010287788,9.85
1414010287843,9.89
1414010287894,9.89
1414010287945,9.92
1414010287995,9.91
1414010288046,9.96
1414010288098,9.97
1414010288149,9.97
1414010288200,9.93
1414010288251,9.95
1414010288310,9.95
1414010288361,10.02
1414010288412,9.99
1414010288463,9.96
1414010288514,9.96
1414010288565,9.96
1414010288616,9.88
1414010288667,9.96
1414010288718,9.98
1414010288769,9.98
1414010288820,9.98
1414010288870,9.91
1414010288921,9.92
1414010288971,9.98
1414010289023,9.98
1414010289077,9.97
1414010289128,9.95
1414010289178,9.95
1414010289229,9.92
1414010289279,9.94
1414010289334,9.97
1414010289384,9.99
1414010289439,9.99
1414010289490,9.9
1414010289540,9.92
1414010289600,9.92
1414010289650,9.92
1414010289701,9.92
1414010289752,9.98
1414010289803,9.94
1414010289854,9.91
1414010289921,9.91
1414010289971,9.93
1414010290021,10
1414010290083,10.01
1414010290133,10.04
1414010290188,10.04
1414010290238,9.9
1414010290289,9.92
1414010290340,9.91
1414010290403,9.79
1414010290450,9.79
1414010290500,10.02
1414010290552,9.93
1414010290602,9.94
1414010290661,9.88
1414010290712,9.88
1414010290764,10.01
1414010290818,10.01
1414010290869,9.96
1414010290919,9.96
1414010290972,9.92
1414010291023,9.99
1414010291073,10.01
1414010291127,9.95
1414010291178,9.95
1414010291229,10.02
1414010291288,9.96
1414010291338,9.97
1414010291392,9.91
1414010291443,9.91
1414010291496,9.96
1414010291547,10
1414010291598,9.92